year,total_biomass_g_m2,mean_weighted_biomass_G_m2,eez,model,esm,scenario
1997,2325675412461.6294,40097851938.993614,8384,apecosm,ipsl,historical
1998,2369354660725.4033,40850942426.30006,8384,apecosm,ipsl,historical
1999,2228084530509.903,38415250526.032814,8384,apecosm,ipsl,historical
2000,2096284190304.2568,36142830867.31477,8384,apecosm,ipsl,historical
2001,2282285480086.6724,39349749656.66676,8384,apecosm,ipsl,historical
2002,2523756341077.171,43513040363.3995,8384,apecosm,ipsl,historical
2003,2423570065258.784,41785690780.32387,8384,apecosm,ipsl,historical
2004,2260091692696.095,38967098149.93268,8384,apecosm,ipsl,historical
2005,2437336242784.7773,42023038668.70306,8384,apecosm,ipsl,historical
2006,2343982171418.492,40413485714.11193,8384,apecosm,ipsl,historical
2007,2269129843668.6377,39122928339.11444,8384,apecosm,ipsl,historical
2008,2321629293647.928,40028091269.79187,8384,apecosm,ipsl,historical
2009,2314943018552.3374,39912810664.69547,8384,apecosm,ipsl,historical
2010,2359281463309.9004,40677266608.79138,8384,apecosm,ipsl,historical
2011,2419097057343.9854,41708569954.20664,8384,apecosm,ipsl,historical
2012,2273362330190.2656,39195902244.65976,8384,apecosm,ipsl,historical
2013,2253110533237.377,38846733331.67892,8384,apecosm,ipsl,historical
2014,2364739405872.59,40771369066.76879,8384,apecosm,ipsl,historical
1950,2827598177587.0737,41582326140.986374,8385,apecosm,ipsl,historical
1951,2662083499185.933,39148286752.734314,8385,apecosm,ipsl,historical
1952,2535497465206.708,37286727429.510414,8385,apecosm,ipsl,historical
1953,2536670486669.272,37303977745.13635,8385,apecosm,ipsl,historical
1954,2567976167304.665,37764355401.53919,8385,apecosm,ipsl,historical
1955,2627401038642.9717,38638250568.27899,8385,apecosm,ipsl,historical
1956,2592156927753.6304,38119954819.906334,8385,apecosm,ipsl,historical
1957,2763133574957.5586,40634317278.78763,8385,apecosm,ipsl,historical
1958,2629752689073.703,38672833662.84858,8385,apecosm,ipsl,historical
1959,2686053005502.054,39500779492.67727,8385,apecosm,ipsl,historical
1960,2718347119593.604,39975692935.20006,8385,apecosm,ipsl,historical
1961,2713796970961.762,39908778984.7318,8385,apecosm,ipsl,historical
1962,2577711357731.5596,37907519966.64058,8385,apecosm,ipsl,historical
1963,2580152653343.8545,37943421372.70374,8385,apecosm,ipsl,historical
1964,2407367456660.613,35402462597.95019,8385,apecosm,ipsl,historical
1965,2441109433300.964,35898668136.77888,8385,apecosm,ipsl,historical
1966,2510022398872.7334,36912094101.06961,8385,apecosm,ipsl,historical
1967,2616488530904.697,38477772513.30437,8385,apecosm,ipsl,historical
1968,2686996187211.645,39514649811.93595,8385,apecosm,ipsl,historical
1969,2658315973638.9478,39092881965.27864,8385,apecosm,ipsl,historical
1970,2509861015097.744,36909720810.26094,8385,apecosm,ipsl,historical
1971,2709458787216.903,39844982164.95445,8385,apecosm,ipsl,historical
1972,2779506807761.335,40875100114.137276,8385,apecosm,ipsl,historical
1973,2475772249944.5664,36408415440.361275,8385,apecosm,ipsl,historical
1974,2547990080525.1543,37470442360.66403,8385,apecosm,ipsl,historical
1975,2592243045862.6177,38121221262.685555,8385,apecosm,ipsl,historical
1976,2566928956501.7344,37748955242.67257,8385,apecosm,ipsl,historical
1977,2403448382772.02,35344829158.412056,8385,apecosm,ipsl,historical
1978,2413299635314.716,35489700519.33405,8385,apecosm,ipsl,historical
1979,2533869646453.4517,37262788918.43311,8385,apecosm,ipsl,historical
1980,2519345365387.6577,37049196549.8185,8385,apecosm,ipsl,historical
1981,2515843971637.164,36997705465.25241,8385,apecosm,ipsl,historical
1982,2625571720734.699,38611348834.33381,8385,apecosm,ipsl,historical
1983,2571321242441.036,37813547682.95641,8385,apecosm,ipsl,historical
1984,2678068068592.1245,39383353949.884186,8385,apecosm,ipsl,historical
1985,2664957668080.9717,39190553942.36723,8385,apecosm,ipsl,historical
1986,2730407383084.971,40153049751.24957,8385,apecosm,ipsl,historical
1987,2585372469589.4956,38020183376.31612,8385,apecosm,ipsl,historical
1988,2530317148786.672,37210546305.68635,8385,apecosm,ipsl,historical
1989,2648453203168.6685,38947841223.06866,8385,apecosm,ipsl,historical
1990,2668709583446.506,39245729168.33096,8385,apecosm,ipsl,historical
1991,2805988570716.147,41264537804.649216,8385,apecosm,ipsl,historical
